400, PA5-F-Output.txt, 6
76.6341  -37.1834   -9.9843  159.6028  -33.5675  101.9273
  24.047   -6.340   23.380   24.047   -6.340   23.380   0.000
  4.172   -18.146   -28.709   4.172   -18.146   -28.709   0.000
  1.675   20.548   46.841   1.675   20.548   46.841   0.000
  -18.701   10.130   -25.621   -18.701   10.130   -25.621   0.000
  31.970   16.933   -20.697   31.970   16.933   -20.697   0.000
  -9.332   11.626   1.821   -9.332   11.626   1.821   0.000
  -28.851   5.699   -18.170   -28.851   5.699   -18.170   0.000
  4.625   23.010   21.574   4.625   23.010   21.574   0.000
  5.156   -18.349   -9.562   5.156   -18.349   -9.562   0.000
  10.597   -11.056   -23.972   10.597   -11.056   -23.972   0.000
  -12.306   -4.236   -43.381   -12.306   -4.236   -43.381   0.000
  28.611   20.351   0.477   28.611   20.351   0.477   0.000
  32.863   -18.393   -15.753   32.863   -18.393   -15.753   0.000
  41.801   5.039   6.343   41.801   5.039   6.343   0.000
  35.774   13.737   -9.826   35.774   13.737   -9.826   0.000
  -13.727   12.592   39.754   -13.727   12.592   39.754   0.000
  -33.434   -8.517   -37.709   -33.434   -8.517   -37.709   0.000
  2.349   19.714   -4.689   2.349   19.714   -4.689   0.000
  1.786   -21.900   -33.054   1.786   -21.900   -33.054   0.000
  -31.707   -27.054   -17.780   -31.707   -27.054   -17.780   0.000
  31.816   9.506   16.949   31.816   9.506   16.949   0.000
  -13.338   7.580   -16.533   -13.338   7.580   -16.533   0.000
  -23.737   -20.479   -4.425   -23.737   -20.479   -4.425   0.000
  0.299   2.631   -24.817   0.299   2.631   -24.817   0.000
  -7.538   21.572   46.162   -7.538   21.572   46.162   0.000
  37.967   8.820   12.751   37.967   8.820   12.751   0.000
  40.473   -2.968   -12.908   40.473   -2.968   -12.908   0.000
  22.988   6.061   37.262   22.988   6.061   37.262   0.000
  11.378   23.087   -14.212   11.378   23.087   -14.212   0.000
  -21.319   -13.580   -3.220   -21.319   -13.580   -3.220   0.000
  -17.711   4.630   -37.771   -17.711   4.630   -37.771   0.000
  -10.665   26.888   24.917   -10.665   26.888   24.917   0.000
  7.033   -10.388   -25.282   7.033   -10.388   -25.282   0.000
  -9.177   -12.175   4.988   -9.177   -12.175   4.988   0.000
  11.927   -19.995   -14.291   11.927   -19.995   -14.291   0.000
  -24.968   -32.253   -21.261   -24.968   -32.253   -21.261   0.000
  16.785   -9.861   22.566   16.785   -9.861   22.566   0.000
  -4.112   -5.086   64.314   -4.112   -5.086   64.314   0.000
  32.990   17.269   8.520   32.990   17.269   8.520   0.000
  -34.900   -1.005   -29.536   -34.900   -1.005   -29.536   0.000
  31.363   13.750   14.002   31.363   13.750   14.002   0.000
  -2.892   20.940   4.859   -2.892   20.940   4.859   0.000
  1.380   19.035   63.829   1.380   19.035   63.829   0.000
  -14.076   -34.564   -21.775   -14.076   -34.564   -21.775   0.000
  6.750   -15.702   -20.568   6.750   -15.702   -20.568   0.000
  13.002   -11.467   -24.025   13.002   -11.467   -24.025   0.000
  2.704   -18.127   -17.118   2.704   -18.127   -17.118   0.000
  -24.820   -29.691   -13.871   -24.820   -29.691   -13.871   0.000
  22.541   18.184   18.214   22.541   18.184   18.214   0.000
  25.224   18.059   13.473   25.224   18.059   13.473   0.000
  36.529   12.347   13.321   36.529   12.347   13.321   0.000
  -36.271   -6.020   -33.747   -36.271   -6.020   -33.747   0.000
  -34.451   -4.523   -34.927   -34.451   -4.523   -34.927   0.000
  3.158   -12.224   -35.873   3.158   -12.224   -35.873   0.000
  13.054   25.471   -6.565   13.054   25.471   -6.565   0.000
  -9.072   -26.921   -8.009   -9.072   -26.921   -8.009   0.000
  -17.850   0.745   -40.537   -17.850   0.745   -40.537   0.000
  -31.685   -0.684   -33.758   -31.685   -0.684   -33.758   0.000
  -7.005   -12.791   -44.711   -7.005   -12.791   -44.711   0.000
  -3.646   -17.372   -42.357   -3.646   -17.372   -42.357   0.000
  -38.722   -4.919   -25.890   -38.722   -4.919   -25.890   0.000
  -31.917   -3.311   -36.103   -31.917   -3.311   -36.103   0.000
  37.525   -11.644   -10.506   37.525   -11.644   -10.506   0.000
  42.485   -1.918   8.544   42.485   -1.918   8.544   0.000
  3.686   -4.835   65.450   3.686   -4.835   65.450   0.000
  -36.492   -1.777   -24.989   -36.492   -1.777   -24.989   0.000
  -2.361   20.869   3.966   -2.361   20.869   3.966   0.000
  1.381   1.196   -24.527   1.381   1.196   -24.527   0.000
  -29.985   -21.477   -7.737   -29.985   -21.477   -7.737   0.000
  -10.447   21.745   13.028   -10.447   21.745   13.028   0.000
  -32.009   -5.440   -37.447   -32.009   -5.440   -37.447   0.000
  -28.784   0.419   -15.260   -28.784   0.419   -15.260   0.000
  -28.465   -16.482   -5.006   -28.465   -16.482   -5.006   0.000
  -13.855   5.841   -10.239   -13.855   5.841   -10.239   0.000
  36.030   -9.552   -15.497   36.030   -9.552   -15.497   0.000
  24.924   22.372   -5.333   24.924   22.372   -5.333   0.000
  -1.109   1.125   -29.888   -1.109   1.125   -29.888   0.000
  37.802   10.299   -9.797   37.802   10.299   -9.797   0.000
  -7.766   9.179   -24.921   -7.766   9.179   -24.921   0.000
  -21.732   -32.868   -17.734   -21.732   -32.868   -17.734   0.000
